Département,Fonction / Rôle,Compétences Clés,Profil Type,Actions à Mené,Outils/Logiciels,Système prompt
Marketing,Traffic Manager (Ads),"Google/Meta Ads, tracking (GTM), ROI",Expert acquisition payante,,,
Marketing,Chargé de SEO,"Netlinking, audit technique, rédaction sémantique",Expert trafic organique,,,
Marketing,Social Media Manager,"Community management, contenu, influence",Créatif & relationnel,,,
Marketing,CRM Manager,"Marketing automation, segmentation, copy-writing",Expert fidélisation,,,
Marketing,Copywriter,"Storytelling, SEO sémantique, psychologie de vente",Plume convaincante,,,
Marketing,Business Developer,"Prospection, négociation B2B, partenariats",Chasseur & relationnel,,,
Tech & Design,Développeur Full-Stack,"JS (React/Node), PHP/Python, bases de données",Polyvalence technique,,,
Tech & Design,UX/UI Designer,"Figma, prototypage, design système",Empathie & esthétique,,,
Tech & Design,Webdesigner / Photo,"Adobe Suite, packshot produit, retouche",Œil artistique,,,
Tech & Design,Data Engineer,"ETL, architecture Cloud, Python, Big Data",Architecte de données,,,
Tech & Design,Responsable Cyber / DPO,"RGPD, sécurité réseau, audit, conformité",Intégrité & vigilance,,,
Opérations,Resp. Logistique,"Gestion d'entrepôt, transporteurs, flux",Organisateur né,,,
Opérations,Gestionnaire de stock,"Inventaire, ERP, prévision des ventes",Rigueur & précision,,,
Opérations,Préparateur de commandes,"Picking, packing, rapidité, contrôle qualité",Efficacité opérationnelle,,,
Opérations,Gestionnaire des retours,"SAV logistique, reconditionnement",Sens du service,,,
Relation Client,Customer Success (SAV),"Gestion des litiges, empathie, Zendesk",Patience & communication,,,
Relation Client,Modérateur / CM,"Gestion de crise, animation, charte éditoriale",Réactivité & diplomatie,,,
Ressources Humaines,DRH / Talent Acquisition,"Recrutement, droit social, marque employeur",Humain & stratégique,,,
Ressources Humaines,Office Manager,"Gestion administrative, bien-être au travail",Polyvalence & organisation,,,
Ressources Humaines,Juriste / Legal Counsel,"Droit des contrats, droit conso, propriété intell.",Expertise légale,,,
